author_name,title,authors,publication,cited_by_value,year
Robert C. Williamson,Composite multiclass losses,"E Vernet, MD Reid, RC Williamson","Advances in Neural Information Processing Systems 24, 2011",57,2011
Robert C. Williamson,Costs and benefits of fair representation learning,"D McNamara, CS Ong, RC Williamson","Proceedings of the 2019 AAAI/ACM Conference on AI, Ethics, and Society, 263-270, 2019",55,2019
Robert C. Williamson,Provably fair representations,"D McNamara, CS Ong, RC Williamson","arXiv preprint arXiv:1710.04394, 2017",55,2017
Robert C. Williamson,Regularized principal manifolds,"AJ Smola, RC Williamson, S Mika, B Schölkopf","European Conference on Computational Learning Theory, 214-229, 1999",54,1999
Robert C. Williamson,Finite sample properties of linear model identification,"E Weyer, RC Williamson, IMY Mareels","IEEE Transactions on Automatic Control 44 (7), 1370-1383, 1999",52,1999
Robert C. Williamson,Nearfield broadband array design using a radially invariant modal expansion,"TD Abhayapala, RA Kennedy, RC Williamson","The Journal of the Acoustical Society of America 107 (1), 392-403, 2000",50,2000
Robert C. Williamson,Composite multiclass losses,"R Williamson, E Vernet, M Reid","MIT Press, 2016",49,2016
Robert C. Williamson,Bipartite ranking: a risk-theoretic perspective,"AK Menon, RC Williamson","The Journal of Machine Learning Research 17 (1), 6766-6867, 2016",49,2016
Robert C. Williamson,Particle filter design using importance sampling for acoustic source localisation and tracking in reverberant environments,"EA Lehmann, RC Williamson","EURASIP Journal on Advances in Signal Processing 2006, 1-9, 2006",48,2006
Robert C. Williamson,Characterization of threshold for single tone maximum likelihood frequency estimation,"B James, BDO Anderson, RC Williamson","IEEE transactions on signal processing 43 (4), 817-821, 1995",45,1995
Robert C. Williamson,Conditional mean and maximum likelihood approaches to multiharmonic frequency estimation,"B James, BDO Anderson, RC Williamson","IEEE Transactions on Signal Processing 42 (6), 1366-1375, 1994",42,1994
Robert C. Williamson,Convergence of exponentiated gradient algorithms,"SI Hill, RC Williamson","IEEE Transactions on Signal Processing 49 (6), 1208-1215, 2001",40,2001
Robert C. Williamson,e-Entropy and the complexity of feedforward neural networks,RC Williamson,"Advances in Neural Information Processing Systems 3, 1990",40,1990
Robert C. Williamson,Prior knowledge and preferential structures in gradient descent learning algorithms,"R Mahony, R Williamson","MIT Press, 2001",38,2001
Robert C. Williamson,"Entropy numbers, operators and support vector kernels","RC Williamson, AJ Smola, B Schölkopf","European Conference on Computational Learning Theory, 285-299, 1999",38,1999
Robert C. Williamson,Kernel-dependent support vector error bounds,"B Scholkopf, J Shawe-Taylor, AJ Smola, RC Williamson","IET Digital Library, 1999",38,1999
Robert C. Williamson,Generalization performance of classifiers in terms of observed covering numbers,"J Shawe-Taylor, RC Williamson","European Conference on Computational Learning Theory, 274-285, 1999",37,1999
Robert C. Williamson,The VC dimension and pseudodimension of two-layer neural networks with discrete inputs,"PL Bartlett, RC Williamson","Neural computation 8 (3), 625-628, 1996",36,1996
Robert C. Williamson,Experimental comparison of particle filtering algorithms for acoustic source localization in a reverberant room,"EA Lehmann, DB Ward, RC Williamson","2003 IEEE International Conference on Acoustics, Speech, and Signal …, 2003",31,2003
Robert C. Williamson,Divergences and Risks for Multiclass Experiments,"D Garcia, RC Williamson","Conference on Learning Theory, 2012",30,2012
Robert C. Williamson,Divergences and risks for multiclass experiments,"D Garcia-Garcia, RC Williamson","Conference on Learning Theory, 28.1-28.20, 2012",30,2012
Robert C. Williamson,Nearfield broadband frequency invariant beamforming,"RA Kennedy, T Abhayapala, DB Ward, RC Williamson","1996 IEEE International Conference on Acoustics, Speech, and Signal …, 1996",29,1996
Robert C. Williamson,On efficient agnostic learning of linear combinations of basis functions,"WS Lee, PL Bartlett, RC Williamson","Proceedings of the eighth annual conference on Computational learning theory …, 1995",29,1995
Robert C. Williamson,Lower bounds on the VC-dimension of smoothly parametrized function classes,"WS Lee, PL Bartlett, RC Williamson","Proceedings of the seventh annual conference on Computational learning …, 1994",29,1994
Robert C. Williamson,"Technology and Australia’s future: New technologies and their role in Australia’s security, cultural, democratic, social and economic systems","R Williamson, M Nic Raghnaill, K Douglas, D Sanchez","Australian Council of Learned Academies, 2015",28,2015
Robert C. Williamson,Mixability is Bayes risk curvature relative to log loss,"T Erven, MD Reid, RC Williamson","Proceedings of the 24th Annual Conference on Learning Theory, 233-252, 2011",26,2011
Robert C. Williamson,Reactions to the National Academies/Royal Society Report on Heritable Human Genome Editing,"M Angrist, R Barrangou, F Baylis, C Brokowski, G Burgio, A Caplan, ...","The CRISPR Journal 3 (5), 332-349, 2020",25,2020
Robert C. Williamson,Online bayes point machines,"E Harrington, R Herbrich, J Kivinen, J Platt, RC Williamson","Advances in Knowledge Discovery and Data Mining: 7th Pacific-Asia Conference …, 2003",25,2003
Robert C. Williamson,The law of large numbers for fuzzy variables under a general triangular norm extension principle,RC Williamson,"Fuzzy Sets and Systems 41 (1), 55-81, 1991",25,1991
Robert C. Williamson,Entropy Numbers of Linear Function Classes.,"RC Williamson, AJ Smola, B Schölkopf","COLT, 309-319, 2000",24,2000
Robert C. Williamson,Kernel machines and boolean functions,"A Kowalczyk, A Smola, RC Williamson","Advances in Neural Information Processing Systems 14, 2001",23,2001
Robert C. Williamson,Pac-bayesian bound for the conditional value at risk,"Z Mhammedi, B Guedj, RC Williamson","Advances in Neural Information Processing Systems 33, 17919-17930, 2020",22,2020
Robert C. Williamson,Broadband microphone arrays for speech acquisition,"DB Ward, RC Williamson, RA Kennedy","Acoustics Australia 26, 17-20, 1998",22,1998
