author_name,title,authors,publication,cited_by_value,year
Philipp Hennig,Automatic LQR tuning based on Gaussian process optimization: Early experimental results,"A Marco, P Hennig, J Bohg, S Schaal, S Trimpe","Second Machine Learning in Planning and Control of Robot Motion Workshop at …, 2015",14,2015
Philipp Hennig,Informed equation learning,"M Werner, A Junginger, P Hennig, G Martius","arXiv preprint arXiv:2105.06331, 2021",13,2021
Philipp Hennig,Modular block-diagonal curvature approximations for feedforward architectures,"F Dangel, S Harmeling, P Hennig","International Conference on Artificial Intelligence and Statistics, 799-808, 2020",13,2020
Philipp Hennig,Exact sampling from determinantal point processes,"P Hennig, R Garnett","arXiv preprint arXiv:1609.06840, 2016",13,2016
Philipp Hennig,Analytical probabilistic modeling of RBE-weighted dose for ion therapy,"HP Wieser, P Hennig, N Wahl, M Bangert","Physics in Medicine & Biology 62 (23), 8959, 2017",12,2017
Philipp Hennig,Probabilistic active learning of functions in structural causal models,"PK Rubenstein, I Tolstikhin, P Hennig, B Schölkopf","arXiv preprint arXiv:1706.10234, 2017",12,2017
Philipp Hennig,Preconditioning for scalable Gaussian process hyperparameter optimization,"J Wenger, G Pleiss, P Hennig, J Cunningham, J Gardner","International Conference on Machine Learning, 23751-23780, 2022",11,2022
Philipp Hennig,Probabilistic numerical method of lines for time-dependent partial differential equations,"N Krämer, J Schmidt, P Hennig","International Conference on Artificial Intelligence and Statistics, 625-639, 2022",11,2022
Philipp Hennig,An infinite-feature extension for Bayesian ReLU nets that fixes their asymptotic overconfidence,"A Kristiadi, M Hein, P Hennig","Advances in Neural Information Processing Systems 34, 18789-18800, 2021",11,2021
Philipp Hennig,Analytical incorporation of fractionation effects in probabilistic treatment planning for intensity‐modulated proton therapy,"N Wahl, P Hennig, HP Wieser, M Bangert","Medical physics 45 (4), 1317-1328, 2018",11,2018
Philipp Hennig,Local gaussian regression,"F Meier, P Hennig, S Schaal","arXiv preprint arXiv:1402.0645, 2014",11,2014
Philipp Hennig,Physics-informed Gaussian process regression generalizes linear PDE solvers,"M Pförtner, I Steinwart, P Hennig, J Wenger","arXiv preprint arXiv:2212.12474, 2022",10,2022
Philipp Hennig,Being a bit frequentist improves Bayesian neural networks,"A Kristiadi, M Hein, P Hennig","International Conference on Artificial Intelligence and Statistics, 529-545, 2022",10,2022
Philipp Hennig,Probnum: Probabilistic numerics in python,"J Wenger, N Krämer, M Pförtner, J Schmidt, N Bosch, N Effenberger, ...","arXiv preprint arXiv:2112.02100, 2021",9,2021
Philipp Hennig,When are neural ODE solutions proper ODEs?,"K Ott, P Katiyar, P Hennig, M Tiemann","arXiv preprint arXiv:2007.15386, 2020",9,2020
Philipp Hennig,Uncertainty estimates for ordinal embeddings,"M Lohaus, P Hennig, U von Luxburg","arXiv preprint arXiv:1906.11655, 2019",9,2019
Philipp Hennig,Bayesian filtering for ODEs with bounded derivatives,"E Magnani, H Kersting, M Schober, P Hennig","arXiv preprint arXiv:1709.08471, 2017",9,2017
Philipp Hennig,Probabilistic ODE solutions in millions of dimensions,"N Krämer, N Bosch, J Schmidt, P Hennig","International Conference on Machine Learning, 11634-11649, 2022",8,2022
Philipp Hennig,Approximate inference in graphical models,P Hennig,"University of Cambridge, 2011",8,2011
Philipp Hennig,Gaussian processes and kernel methods: A review on connections and equivalences. arXiv 2018,"M Kanagawa, P Hennig, D Sejdinovic, BK Sriperumbudur","arXiv preprint arXiv:1807.02582, 0",8,
Philipp Hennig,Reducing the variance of Gaussian process hyperparameter optimization with preconditioning,"J Wenger, G Pleiss, P Hennig, JP Cunningham, JR Gardner","ArXiv 2107, 2021",7,2021
Philipp Hennig,Linear-time probabilistic solution of boundary value problems,"N Krämer, P Hennig","Advances in Neural Information Processing Systems 34, 11160-11171, 2021",6,2021
Philipp Hennig,Cockpit: A practical debugging tool for the training of deep neural networks,"F Schneider, F Dangel, P Hennig","Advances in Neural Information Processing Systems 34, 20825-20837, 2021",6,2021
Philipp Hennig,ViViT: Curvature access through the generalized Gauss-Newton's low-rank structure,"F Dangel, L Tatzel, P Hennig","arXiv preprint arXiv:2106.02624, 2021",6,2021
Philipp Hennig,Self-tuning stochastic optimization with curvature-aware gradient filtering,"RTQ Chen, D Choi, L Balles, D Duvenaud, P Hennig","PMLR, 2020",6,2020
Philipp Hennig,Conjugate gradients for kernel machines,"S Bartels, P Hennig","The Journal of Machine Learning Research 21 (1), 1998-2039, 2020",6,2020
Philipp Hennig,Animating samples from gaussian distributions,P Hennig,"Max Planck Institute for Intelligent Systems, Spemannstraße 72076, 2013",6,2013
Philipp Hennig,Posterior and computational uncertainty in gaussian processes,"J Wenger, G Pleiss, M Pförtner, P Hennig, JP Cunningham","Advances in Neural Information Processing Systems 35, 10876-10890, 2022",5,2022
Philipp Hennig,Fenrir: Physics-enhanced regression for initial value problems,"F Tronarp, N Bosch, P Hennig","International Conference on Machine Learning, 21776-21794, 2022",5,2022
Philipp Hennig,Pick-and-mix information operators for probabilistic ODE solvers,"N Bosch, F Tronarp, P Hennig","International Conference on Artificial Intelligence and Statistics, 10015-10027, 2022",5,2022
Philipp Hennig,Krylov subspace recycling for fast iterative least-squares in machine learning,"F de Roos, P Hennig","arXiv preprint arXiv:1706.00241, 2017",5,2017
Philipp Hennig,Topic models,"P Hennig, D Stern, T Graepel, R Herbrich","US Patent App. 14/172,771, 2014",5,2014
Philipp Hennig,Approximate gaussian integration using expectation propagation,"JP Cunningham, P Hennig, S Lacoste-Julien","stat 1050, 29, 2011",5,2011
Philipp Hennig,Posterior refinement improves sample efficiency in bayesian neural networks,"A Kristiadi, R Eschenhagen, P Hennig","Advances in Neural Information Processing Systems 35, 30333-30346, 2022",4,2022
Philipp Hennig,Uncertainty in equation learning,"M Werner, A Junginger, P Hennig, G Martius","Proceedings of the Genetic and Evolutionary Computation Conference Companion …, 2022",4,2022
Philipp Hennig,Bayesian quadrature on Riemannian data manifolds,"C Fröhlich, A Gessner, P Hennig, B Schölkopf, G Arvanitidis","International Conference on Machine Learning, 3459-3468, 2021",4,2021
Philipp Hennig,A Probabilistically Motivated Learning Rate Adaptation for Stochastic Optimization,"F De Roos, C Jidling, A Wills, T Schön, P Hennig","arXiv preprint arXiv:2102.10880, 2021",4,2021
Philipp Hennig,Fixing asymptotic uncertainty of Bayesian neural networks with infinite ReLU features,"A Kristiadi, M Hein, P Hennig",,4,2020
Philipp Hennig,Dense connectomic reconstruction in layer 4 of the somatosensory cortex,"A Motta, M Berning, KM Boergens, B Staffler, M Beining, S Loomba, ...","bioRxiv, 460618, 2018",4,2018
Philipp Hennig,Automating stochastic optimization with gradient variance estimates,"L Balles, M Mahsereci, P Hennig","ICML AutoML Workshop, 13, 2017",4,2017
Philipp Hennig,"Contributed discussion on article by Chkrebtii, Campbell, Calderhead, and Girolami","FX Briol, J Cockayne, O Teymur","Bayesian Analysis 11 (4), 1285-1293, 2016",4,2016
Philipp Hennig,Classified regression for Bayesian optimization: Robot learning with unknown penalties,"A Marco, D Baumann, P Hennig, S Trimpe","arXiv preprint arXiv:1907.10383, 2019",3,2019
Philipp Hennig,Active probabilistic inference on matrices for pre-conditioning in stochastic optimization,"F Roos, P Hennig","The 22nd International Conference on Artificial Intelligence and Statistics …, 2019",3,2019
Philipp Hennig,A modular approach to block–diagonal Hessian approximations for second-order optimization methods,"F Dangel, P Hennig","CoRR, abs/1902.01813, 2019",3,2019
Philipp Hennig,Follow the Signs for Robust Stochastic Optimization,"L Balles, P Hennig","ArXiv e-prints, 11, 2017",3,2017
Philipp Hennig,New directions for learning with kernels and gaussian processes (dagstuhl seminar 16481),"A Gretton, P Hennig, CE Rasmussen, B Schölkopf","Dagstuhl Reports 6 (11), 2017",3,2017
Philipp Hennig,Bayesian quadratic reinforcement learning,"P Hennig, D Stern, T Graepel","NIPS 2009 Workshop on Probabilistic Approaches for Robotics and Control, 2009",3,2009
Philipp Hennig,Benchmarking Neural Network Training Algorithms,"GE Dahl, F Schneider, Z Nado, N Agarwal, CS Sastry, P Hennig, ...","arXiv preprint arXiv:2306.07179, 2023",2,2023
Philipp Hennig,Discovering inductive bias with Gibbs priors: A diagnostic tool for approximate Bayesian inference,"L Rendsburg, A Kristiadi, P Hennig, U Von Luxburg","International Conference on Artificial Intelligence and Statistics, 1503-1526, 2022",2,2022
Philipp Hennig,Probabilistic DAG search,"J Grosse, C Zhang, P Hennig","Uncertainty in Artificial Intelligence, 1424-1433, 2021",2,2021
Philipp Hennig,Linear-time probabilistic solutions of boundary value problems,"N Krämer, P Hennig","arXiv preprint arXiv:2106.07761, 2021",2,2021
Philipp Hennig,EP-1898: Smooth animations of the probabilistic analog to worst-case dose distributions,"N Wahl, HP Wieser, LR Müller, P Hennig, M Bangert","Radiotherapy and Oncology 127, S1028-S1029, 2018",2,2018
Philipp Hennig,Analytical probabilistic models for dose quality metrics and optimization objectives,APM APM,,2,2018
Philipp Hennig,Approximate dual control maintaining the value of information with an application to building control,"ED Klenske, P Hennig, B Scholkopf, MN Zeilinger","2016 European Control Conference (ECC), 800-806, 2016",2,2016
Philipp Hennig,Coherent inference on optimal play in game trees,"P Hennig, D Stern, T Graepel","Proceedings of the Thirteenth International Conference on Artificial …, 2010",2,2010
Philipp Hennig,Expectation propagation on the maximum of correlated normal variables,P Hennig,"arXiv preprint arXiv:0910.0115, 2009",2,2009
Philipp Hennig,Uncertainty and Structure in Neural Ordinary Differential Equations,"K Ott, M Tiemann, P Hennig","arXiv preprint arXiv:2305.13290, 2023",1,2023
