author_name,title,authors,publication,cited_by_value,year
Hendrik P. A. Lensch,Jan Kautz,"HPA Lensch, M Goesele","Hans-Peter Seidel, 0",14,
Hendrik P. A. Lensch,Learning robust video synchronization without annotations,"P Wieschollek, I Freeman, HPA Lensch","2017 16th IEEE International Conference on Machine Learning and Applications …, 2017",13,2017
Hendrik P. A. Lensch,Demosaicing by smoothing along 1d features,"B Ajdin, MB Hullin, C Fuchs, HP Seidel, HPA Lensch","2008 IEEE Conference on Computer Vision and Pattern Recognition, 1-8, 2008",13,2008
Hendrik P. A. Lensch,3D Reconstruction of Emission and Absorption in Planetary Nebulae.,"A Lintu, HPA Lensch, MA Magnor, S El-Abed, HP Seidel","VG@ Eurographics, 9-16, 2007",13,2007
Hendrik P. A. Lensch,Digital focusing and refocusing with thin multi-aperture cameras,"A Oberdörster, A Brückner, F Wippermann, A Bräuer, HPA Lensch","Digital Photography VIII 8299, 58-68, 2012",12,2012
Hendrik P. A. Lensch,AVDT-Automatic Visualization of Descriptive Texts.,"C Spika, K Schwarz, H Dammertz, HPA Lensch","VMV, 129-136, 2011",12,2011
Hendrik P. A. Lensch,Spatialdetr: Robust scalable transformer-based 3d object detection from multi-view camera images with global cross-sensor attention,"S Doll, R Schulz, L Schneider, V Benzin, M Enzweiler, HPA Lensch","European Conference on Computer Vision, 230-245, 2022",11,2022
Hendrik P. A. Lensch,A Unified Manifold Framework for Efficient BRDF Sampling based on Parametric Mixture Models.,"S Herholz, O Elek, J Schindel, J Krivánek, HPA Lensch","EGSR (EI&I), 41-52, 2018",11,2018
Hendrik P. A. Lensch,Hardwareaccelerated silhouette matching,"H Lensch, W Heidrich, HP Seidel","SIGGRAPH Sketches 211, 2000",11,2000
Hendrik P. A. Lensch,Learning to adapt multi-view stereo by self-supervision,"A Mallick, J Stückler, H Lensch","arXiv preprint arXiv:2009.13278, 2020",10,2020
Hendrik P. A. Lensch,A distributed neural network architecture for robust non-linear spatio-temporal prediction,"M Karlbauer, S Otte, H Lensch, T Scholten, V Wulfmeyer, MV Butz","arXiv preprint arXiv:1912.11141, 2019",10,2019
Hendrik P. A. Lensch,3D Reconstruction of Reflection Nebulae from a Single Image.,"A Lintu, L Hoffman, MA Magnor, HPA Lensch, HP Seidel","VMV, 109-116, 2007",9,2007
Hendrik P. A. Lensch,The frankencamera: An experimental platform for computational photography,"A Adams, DE Jacobs, J Dolson, M Tico, K Pulli, EV Talvala, B Ajdin, ...","Communications of the ACM 55 (11), 90-98, 2012",8,2012
Hendrik P. A. Lensch,"Multi-video compression in texture space using 4D SPIHT, IEEE Int'l","G Ziegler, H Lensch, M Magnor, HP Seidel","Workshop on Multimedia and Signal Processing,(MMSP'04), 2004",8,2004
Hendrik P. A. Lensch,"A framework for the acquisition, processing, transmission, and interactive display of high quality 3D models on the web","HPA Lensch, M Goesele, J Kautz, HP Seidel","MAX PLANCK INSTITUT FUR INFORMATIK-REPORT-MPI I, 2001",8,2001
Hendrik P. A. Lensch,"A Framework for the Acquisition, Processing, Transmission, and Interactive Display of High Quality 3D Models on the Web","HP Seidel, HPA Lensch, M Goesele, J Kautz","Techical Report MPI-I-2001-4-002, Max-Planck-Institut ḟur Informatik, 2001",8,2001
