author_name,title,authors,publication,cited_by_value,year
Bernhard Schölkopf,Cluster kernels for semi-supervised learning,"O Chapelle, J Weston, B Schölkopf","Advances in neural information processing systems 15, 2002",669,2002
Bernhard Schölkopf,Domain adaptation under target and conditional shift,"K Zhang, B Schölkopf, K Muandet, Z Wang","International conference on machine learning, 819-827, 2013",659,2013
Bernhard Schölkopf,Engineering support vector machine kernels that recognize translation initiation sites,"A Zien, G Ratsch, S Mika, B Scholkopf, T Lengauer, KR Muller","Bioinformatics-Oxford, GCB'99 PAPERS PRESENTED AT THE GERMAN CONFERENCE ON …, 1999",652,1999
Bernhard Schölkopf,Avoiding discrimination through causal reasoning,"N Kilbertus, M Rojas Carulla, G Parascandolo, M Hardt, D Janzing, ...","Advances in neural information processing systems 30, 2017",619,2017
Bernhard Schölkopf,Learning to deblur,"CJ Schuler, M Hirsch, S Harmeling, B Schölkopf","IEEE transactions on pattern analysis and machine intelligence 38 (7), 1439-1451, 2015",610,2015
Bernhard Schölkopf,Support vector channel selection in BCI,"TN Lal, M Schroder, T Hinterberger, J Weston, M Bogdan, N Birbaumer, ...","IEEE transactions on biomedical engineering 51 (6), 1003-1010, 2004",609,2004
Bernhard Schölkopf,MRI-based attenuation correction for PET/MRI: a novel approach combining pattern recognition and atlas registration,"M Hofmann, F Steinke, V Scheel, G Charpiat, J Farquhar, P Aschoff, ...","Journal of nuclear medicine 49 (11), 1875-1883, 2008",606,2008
Bernhard Schölkopf,MRI-based attenuation correction for PET/MRI: a novel approach combining pattern recognition and atlas registration,"M Hofmann, F Steinke, V Scheel, G Charpiat, J Farquhar, P Aschoff, ...","Journal of nuclear medicine 49 (11), 1875-1883, 2008",605,2008
Bernhard Schölkopf,Kernel-based conditional independence test and application in causal discovery,"K Zhang, J Peters, D Janzing, B Schölkopf","arXiv preprint arXiv:1202.3775, 2012",599,2012
Bernhard Schölkopf,Support vector method for novelty detection,"B Scholkopf, R Williamson, A Smola, J Shawe-Taylor, J Platt","Advances in neural information processing systems 12 (3), 582-588, 2000",598,2000
Bernhard Schölkopf,Inferring causation from time series in Earth system sciences,"J Runge, S Bathiany, E Bollt, G Camps-Valls, D Coumou, E Deyle, ...","Nature communications 10 (1), 2553, 2019",574,2019
Bernhard Schölkopf,On causal and anticausal learning,"B Schölkopf, D Janzing, J Peters, E Sgouritsa, K Zhang, J Mooij","ICML 2012; arXiv preprint arXiv:1206.6471, 2012",565,2012
Bernhard Schölkopf,A primer on kernel methods,"JP Vert, K Tsuda, B Schölkopf","Kernel methods in computational biology 47, 35-70, 2004",565,2004
Bernhard Schölkopf,Learning from labeled and unlabeled data on a directed graph,"D Zhou, J Huang, B Schölkopf","Proceedings of the 22nd international conference on Machine learning, 1036-1043, 2005",542,2005
Bernhard Schölkopf,Predicting structured data,"G BakIr, T Hofmann, B Schölkopf, AJ Smola, B Taskar, ...","The MIT Press, 2007",541,2007
Bernhard Schölkopf,On the empirical estimation of integral probability metrics,"BK Sriperumbudur, K Fukumizu, A Gretton, B Schölkopf, GRG Lanckriet",,522,2012
Bernhard Schölkopf,Learning with kernels,"B Schlkopf, AJ Smola","AJ Bernhard Schlkopf, Kernels, 32-48, 2002",513,2002
Bernhard Schölkopf,Causal discovery with continuous additive noise models,"J Peters, JM Mooij, D Janzing, B Schölkopf",,506,2014
Bernhard Schölkopf,Distinguishing cause from effect using observational data: methods and benchmarks,"JM Mooij, J Peters, D Janzing, J Zscheischler, B Schölkopf","The Journal of Machine Learning Research 17 (1), 1103-1204, 2016",480,2016
Bernhard Schölkopf,Advances in large margin classifiers,"Smola, Bartlett, Schölkopf, Schuurmans","MIT press, 2000",479,2000
Bernhard Schölkopf,Unifying distillation and privileged information,"D Lopez-Paz, L Bottou, B Schölkopf, V Vapnik","arXiv preprint arXiv:1511.03643, 2015",476,2015
Bernhard Schölkopf,Recording and playback of camera shake: Benchmarking blind deconvolution with a real-world database,"R Köhler, M Hirsch, B Mohler, B Schölkopf, S Harmeling","Computer Vision–ECCV 2012: 12th European Conference on Computer Vision …, 2012",476,2012
Bernhard Schölkopf,Prior knowledge in support vector kernels,"B Schölkopf, P Simard, A Smola, V Vapnik","Advances in neural information processing systems 10, 1997",462,1997
Bernhard Schölkopf,Incorporating invariances in support vector learning machines,"B Schölkopf, C Burges, V Vapnik","Artificial Neural Networks—ICANN 96: 1996 International Conference Bochum …, 1996",458,1996
Bernhard Schölkopf,"On a Kernel-based Method for Pattern Recognition, Regression, Approximation, and Operator Inversion","AJ Smola, B Scholkopf","GMD Technical Report: 1064, 1997",450,1997
Bernhard Schölkopf,Kernel methods for measuring independence,"A Gretton, R Herbrich, A Smola, O Bousquet, B Schölkopf","The Journal of Machine Learning Research 6, 2075-2129, 2005",445,2005
Bernhard Schölkopf,Causality for machine learning,B Schölkopf,"Probabilistic and Causal Inference: The Works of Judea Pearl, 765-804, 2022",440,2022
Bernhard Schölkopf,Towards quantitative PET/MRI: a review of MR-based attenuation correction techniques,"M Hofmann, B Pichler, B Schölkopf, T Beyer","European journal of nuclear medicine and molecular imaging 36, 93-104, 2009",430,2009
Bernhard Schölkopf,Transfer learning in brain-computer interfaces,"V Jayaram, M Alamgir, Y Altun, B Scholkopf, M Grosse-Wentrup","IEEE Computational Intelligence Magazine 11 (1), 20-31, 2016",417,2016
Bernhard Schölkopf,Iterative kernel principal component analysis for image modeling,"KI Kim, MO Franz, B Scholkopf","IEEE transactions on pattern analysis and machine intelligence 27 (9), 1351-1366, 2005",396,2005
Bernhard Schölkopf,Fast removal of non-uniform camera shake,"M Hirsch, CJ Schuler, S Harmeling, B Schölkopf","2011 International Conference on Computer Vision, 463-470, 2011",394,2011
Bernhard Schölkopf,Comparison of view-based object recognition algorithms using realistic 3D models,"V Blanz, B Schölkopf, H Bülthoff, C Burges, V Vapnik, T Vetter","Artificial Neural Networks—ICANN 96: 1996 International Conference Bochum …, 1996",372,1996
Bernhard Schölkopf,Advances in kernel methods-support vector learning,T Joachims,"Making large-scale SVM learning practical, 41-56, 1999",359,1999
Bernhard Schölkopf,Towards total recall in industrial anomaly detection,"K Roth, L Pemula, J Zepeda, B Schölkopf, T Brox, P Gehler","Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern …, 2022",357,2022
Bernhard Schölkopf,Structure and dynamics of information pathways in online media,"M Gomez Rodriguez, J Leskovec, B Schölkopf","Proceedings of the sixth ACM international conference on Web search and data …, 2013",353,2013
Bernhard Schölkopf,Domain adaptation with conditional transferable components,"M Gong, K Zhang, T Liu, D Tao, C Glymour, B Schölkopf","International conference on machine learning, 2839-2848, 2016",351,2016
Bernhard Schölkopf,A local learning approach for clustering,"M Wu, B Schölkopf","Advances in neural information processing systems 19, 2006",351,2006
Bernhard Schölkopf,A machine learning approach for non-blind image deconvolution,"CJ Schuler, H Christopher Burger, S Harmeling, B Scholkopf","Proceedings of the IEEE conference on computer vision and pattern …, 2013",349,2013
Bernhard Schölkopf,Information-geometric approach to inferring causal directions,"D Janzing, J Mooij, K Zhang, J Lemeire, J Zscheischler, P Daniušis, ...","Artificial Intelligence 182, 1-31, 2012",335,2012
Bernhard Schölkopf,MRI-based attenuation correction for whole-body PET/MRI: quantitative evaluation of segmentation-and atlas-based methods,"M Hofmann, I Bezrukov, F Mantlik, P Aschoff, F Steinke, T Beyer, ...","Journal of Nuclear Medicine 52 (9), 1392-1399, 2011",332,2011
Bernhard Schölkopf,Constructing boosting algorithms from SVMs: An application to one-class classification,"G Ratsch, S Mika, B Scholkopf, KR Muller","IEEE Transactions on Pattern Analysis and Machine Intelligence 24 (9), 1184-1199, 2002",328,2002
Bernhard Schölkopf,Learning view graphs for robot navigation,"MO Franz, B Schölkopf, P Georg, HA Mallot, HH Bülthoff","Proceedings of the first international conference on Autonomous agents, 138-147, 1997",325,1997
Bernhard Schölkopf,Where did I take that snapshot? Scene-based homing by image matching,"MO Franz, B Schölkopf, HA Mallot, HH Bülthoff","Biological Cybernetics 79, 191-202, 1998",313,1998
Bernhard Schölkopf,Invariant models for causal transfer learning,"M Rojas-Carulla, B Schölkopf, R Turner, J Peters","The Journal of Machine Learning Research 19 (1), 1309-1342, 2018",308,2018
Bernhard Schölkopf,Support vector machines and kernel methods: the new generation of learning machines,"N Cristianini, B Scholkopf","Ai Magazine 23 (3), 31-31, 2002",307,2002
Bernhard Schölkopf,Efficient filter flow for space-variant multiframe blind deconvolution,"M Hirsch, S Sra, B Schölkopf, S Harmeling","2010 IEEE Computer Society Conference on Computer Vision and Pattern …, 2010",297,2010
Bernhard Schölkopf,Causal inference using the algorithmic Markov condition,"D Janzing, B Schölkopf","IEEE Transactions on Information Theory 56 (10), 5168-5194, 2010",293,2010
Bernhard Schölkopf,Influence estimation and maximization in continuous-time diffusion networks,"M Gomez-Rodriguez, L Song, N Du, H Zha, B Schölkopf","ACM Transactions on Information Systems (TOIS) 34 (2), 1-33, 2016",289,2016
Bernhard Schölkopf,Recurrent independent mechanisms,"A Goyal, A Lamb, J Hoffmann, S Sodhani, S Levine, Y Bengio, ...","arXiv preprint arXiv:1909.10893, 2019",284,2019
Bernhard Schölkopf,Automatic image colorization via multimodal predictions,"G Charpiat, M Hofmann, B Schölkopf","Computer Vision–ECCV 2008: 10th European Conference on Computer Vision …, 2008",284,2008
Bernhard Schölkopf,A regularization framework for learning from graph data,"D Zhou, B Schölkopf","ICML 2004 Workshop on Statistical Relational Learning and Its Connections to …, 2004",283,2004
Bernhard Schölkopf,Fast protein classification with multiple networks,"K Tsuda, H Shin, B Schölkopf","Bioinformatics 21 (suppl_2), ii59-ii65, 2005",282,2005
Bernhard Schölkopf,Dismec: Distributed sparse machines for extreme multi-label classification,"R Babbar, B Schölkopf","Proceedings of the tenth ACM international conference on web search and data …, 2017",279,2017
Bernhard Schölkopf,Feature selection for support vector machines by means of genetic algorithm,"H Frohlich, O Chapelle, B Scholkopf","Proceedings. 15th IEEE International Conference on Tools with Artificial …, 2003",278,2003
Bernhard Schölkopf,From variational to deterministic autoencoders,"P Ghosh, MSM Sajjadi, A Vergari, M Black, B Schölkopf","arXiv preprint arXiv:1903.12436, 2019",272,2019
Bernhard Schölkopf,Semi-supervised learning on directed graphs,"D Zhou, T Hofmann, B Schölkopf","Advances in neural information processing systems 17, 2004",271,2004
Bernhard Schölkopf,Adagan: Boosting generative models,"IO Tolstikhin, S Gelly, O Bousquet, CJ Simon-Gabriel, B Schölkopf","Advances in neural information processing systems 30, 2017",268,2017
Bernhard Schölkopf,"Statistical learning theory: models, concepts, and results","U Von Luxburg, B Schölkopf","Arxiv preprint arXiv:0810.4752, 2008",266,2008
Bernhard Schölkopf,The need for open source software in machine learning,"S Sonnenburg, ML Braun, CS Ong, S Bengio, L Bottou, G Holmes, ...","Journal of Machine Learning Research, 2443-2466, 2007",264,2007
Bernhard Schölkopf,A nonparametric approach to bottom-up visual saliency,"W Kienzle, FA Wichmann, M Franz, B Schölkopf","Advances in neural information processing systems 19, 2006",264,2006
Bernhard Schölkopf,Using support vector machines for time series prediction,"KR Muller, A Smola, G Ratsch, B Scholkopf, J Kohlmorgen, V Vapnik","Advances in kernel methods: Support vector learning 253, 1999",264,1999
Bernhard Schölkopf,Methods towards invasive human brain computer interfaces,"T Lal, T Hinterberger, G Widman, M Schröder, N Hill, W Rosenstiel, ...","Advances in neural information processing systems 17, 2004",263,2004
