author_name,title,authors,publication,cited_by_value,year
Ulrike von Luxburg,"Curran Associates, Inc., 2017; Vol. 30","I Guyon, UV Luxburg, S Bengio, H Wallach, R Fergus, S Vishwanathan, ...","Google Scholar There is no corresponding record for this reference, 0",11,
Ulrike von Luxburg,When humans and machines make joint decisions: A non-symmetric bandit model,"S Bordt, U von Luxburg","arXiv preprint arXiv:2007.04800, 2020",10,2020
Ulrike von Luxburg,From Shapley values to generalized additive models and back,"S Bordt, U von Luxburg","International Conference on Artificial Intelligence and Statistics, 709-745, 2023",9,2023
Ulrike von Luxburg,Uncertainty estimates for ordinal embeddings,"M Lohaus, P Hennig, U von Luxburg","arXiv preprint arXiv:1906.11655, 2019",9,2019
Ulrike von Luxburg,Advances in Neural Information Processing Systems 30,"M Eickenberg, G Exarchakis, M Hirn, S Mallat, I Guyon, UV Luxburg, ...","Curran Associates, Inc., 2017",9,2017
Ulrike von Luxburg,Advances in neural information processing systems,"N Apthorpe, A Riordan, R Aguilar, J Homann, Y Gu, D Tank, HS Seung, ...","Curran, Red Hook, NY, 2016",9,2016
Ulrike von Luxburg,Estimation of perceptual scales using ordinal embedding,"S Haghiri, FA Wichmann, U von Luxburg","Journal of vision 20 (9), 14-14, 2020",8,2020
Ulrike von Luxburg,Advances in neural information processing systems,"I Osband, C Blundell, A Pritzel, B Van Roy, D Lee, M Sugiyama, ...","Curran, Red Hook, NY 29, 4026-4034, 2016",8,2016
Ulrike von Luxburg,Advances in neural information processing systems,"K Kandasamy, G Dasarathy, JB Oliva, J Schneider, B Póczos, D Lee, ...","Red Hook, New York, United States of America: Current Associates Inc 29, 992, 2016",8,2016
Ulrike von Luxburg,Advances in Neural Information Processing Systems 29 (NIPS 2016),"M Pachitariu, N Steinmetz, S Kadir, M Carandini, K Harris, DD Lee, ...","NIPS, 2016",8,2016
Ulrike von Luxburg,Advances in neural information processing systems,"CK Sønderby, T Raiko, L Maaløe, SK Sønderby, O Winther, D Lee, ...","Neural Information Processing Systems 29, 3738-3746, 2016",8,2016
Ulrike von Luxburg,Tangles: from weak to strong clustering,"C Elbracht, D Fioravanti, S Klepper, J Kneip, L Rendsburg, M Teegen, ...","arXiv e-prints, arXiv: 2006.14444, 2020",7,2020
Ulrike von Luxburg,Comparison-based framework for psychophysics: Lab versus crowdsourcing,"S Haghiri, P Rubisch, R Geirhos, F Wichmann, U von Luxburg","arXiv preprint arXiv:1905.07234, 2019",7,2019
Ulrike von Luxburg,Boosting for comparison-based learning,"M Perrot, U Von Luxburg","arXiv preprint arXiv:1810.13333, 2018",7,2018
Ulrike von Luxburg,Advances in neural information processing systems 30,"U Von Luxburg, I Guyon, S Bengio, H Wallach, R Fergus, ...","31st annual conference on neural information processing systems (NIPS 2017 …, 2017",7,2017
Ulrike von Luxburg,Adv Neural Inf Process Syst,"SM Lundberg, SI Lee, I Guyon, UV Luxburg, S Bengio, H Wallach, ...","Curran Associates, Inc, Red Hook, Newyork, USA, 2017",7,2017
Ulrike von Luxburg,Advances in neural information processing systems,"A Nøkland, D Lee, M Sugiyama, U Luxburg, I Guyon, R Garnett","Curran, Red Hook, NY 29, 1037-1045, 2016",7,2016
Ulrike von Luxburg,"Curran Associates, Inc., 2016","DD Lee, M Sugiyama, UV Luxburg, I Guyon, R Garnett","Google Scholar There is no corresponding record for this reference, 5040-5048, 0",7,
Ulrike von Luxburg,Insights into ordinal embedding algorithms: A systematic evaluation,"LC Vankadara, M Lohaus, S Haghiri, FU Wahab, U von Luxburg","Journal of Machine Learning Research 24 (191), 1-83, 2023",6,2023
Ulrike von Luxburg,A bandit model for human-machine decision making with private information and opacity,"S Bordt, U Von Luxburg","International Conference on Artificial Intelligence and Statistics, 7300-7319, 2022",5,2022
Ulrike von Luxburg,Advances in neural information processing systems 29 (NIPS 2016),"M Bellemare, S Srinivasan, G Ostrovski, T Schaul, D Saxton, R Munos, ...",,5,2016
Ulrike von Luxburg,Proceedings of the 30th International Conference on Neural Information Processing Systems,"T Bolukbasi, KW Chang, J Zou, V Saligrama, A Kalai, I Guyon, ...",,5,2016
Ulrike von Luxburg,Nach der Exzellenzinitiative: Personalstruktur als Schlüssel zu leistungsfähigeren Universitäten,"C Menke, M Schularick, S Baumbach, R Wolf, J Macke, W Pernice, ...",,5,2013
Ulrike von Luxburg,Advanced lectures on machine learning,"OBU von Luxburg, G Rätsch","Lecture, 2004",5,2004
Ulrike von Luxburg,The unconscious priming fallacy: When can scientists truly claim an indirect task advantage,"S Meyen, IA Zerweck, C Amado, U von Luxburg, VH Franz","arXiv preprint arXiv:2004.14987, 2020",4,2020
Ulrike von Luxburg,MIT Press: Cambridge,"I Guyon, UV Luxburg, S Bengio, H Wallach, R Fergus, S Vishwanathan, ...","MA, USA 2017, 2017",4,2017
Ulrike von Luxburg,Similarity graphs in machine learning,"M Hein, U Luxburg","Mach. Learn. Summ. Sch. MPI Biological Cybernetics 1, 1-1, 2007",4,2007
Ulrike von Luxburg,A consistent estimator for confounding strength,"L Rendsburg, LC Vankadara, D Ghoshdastidar, U von Luxburg","arXiv preprint arXiv:2211.01903, 2022",3,2022
Ulrike von Luxburg,Recovery guarantees for kernel-based clustering under non-parametric mixture models,"LC Vankadara, S Bordt, U von Luxburg, D Ghoshdastidar","International Conference on Artificial Intelligence and Statistics, 3817-3825, 2021",3,2021
Ulrike von Luxburg,Kernel functions based on triplet similarity comparisons,"M Kleindessner, U von Luxburg","CoRR, 2016",3,2016
Ulrike von Luxburg,Unconscious lie detection as an example of a widespread fallacy in the Neurosciences,"VH Franz, U von Luxburg","arXiv preprint arXiv:1407.4240, 2014",3,2014
Ulrike von Luxburg,AI for Science: An Emerging Agenda,"P Berens, K Cranmer, ND Lawrence, U von Luxburg, J Montgomery","arXiv preprint arXiv:2303.04217, 2023",2,2023
Ulrike von Luxburg,Interpolation and regularization for causal learning,"L Chennuru Vankadara, L Rendsburg, U Luxburg, D Ghoshdastidar","Advances in Neural Information Processing Systems 35, 36627-36639, 2022",2,2022
Ulrike von Luxburg,Discovering inductive bias with Gibbs priors: A diagnostic tool for approximate Bayesian inference,"L Rendsburg, A Kristiadi, P Hennig, U Von Luxburg","International Conference on Artificial Intelligence and Statistics, 1503-1526, 2022",2,2022
Ulrike von Luxburg,Brain network science needs to become predictive. Comment on “Understanding brain networks and brain organization” by Luiz Pessoa,"CC Hilgetag, U von Luxburg","Physics of Life Reviews 11 (3), 446-447, 2014",2,2014
Ulrike von Luxburg,Influence of graph construction on graph-based quality measures-technical supplement,"M Maier, U von Luxburg, M Hein",,2,2008
Ulrike von Luxburg,Stochastic Learning,"O Bousquet, U von Luxburg","Advanced Lectures on Machine Learning, 146-168, 0",2,
Ulrike von Luxburg,Pitfalls of Climate Network Construction—A Statistical Perspective,"M Haas, B Goswami, U von Luxburg","Journal of Climate 36 (10), 3321-3342, 2023",1,2023
Ulrike von Luxburg,The Manifold Hypothesis for Gradient-Based Explanations,"S Bordt, U Upadhyay, Z Akata, U von Luxburg","Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern …, 2023",1,2023
Ulrike von Luxburg,Specialists Outperform Generalists in Ensemble Classification,"S Meyen, F Göppert, H Alber, U von Luxburg, VH Franz","arXiv preprint arXiv:2107.04381, 2021",1,2021
Ulrike von Luxburg,Relation between classification accuracy and mutual information in equally weighted classification tasks,U Luxburg,"Universität Hamburg, 2016",1,2016
Ulrike von Luxburg,"Technical comment on Gunderson, ten Brinke, and Sokol-Hessner (2023). When the body knows: Interoceptive accuracy enhances physiological but not explicit differentiation …","VH Franz, S Meyen, U von Luxburg","Personality and Individual Differences 217, 112439, 2024",,2024
Ulrike von Luxburg,Mind the spikes: Benign overfitting of kernels and neural networks in fixed dimension,"I Steinwart, U von Luxburg, D Holzmüller, M Haas","arXiv, 2023",,2023
Ulrike von Luxburg,No evidence for contextual cueing beyond explicit recognition,"U von Luxburg, V Franz, MA Vadillo, S Meyen","Psychonomic Bulletin & Review, 2023",,2023
